No,X,Y,Z,Tabel
1,-1.546147,0.254083,0.18098,Gempa
2,-1.655812,0.418088,0.181559,Gempa
3,-1.691204,0.542576,0.081704,Gempa
4,-1.643463,0.598221,-0.126945,Gempa
5,-1.508805,0.567528,-0.41433,Gempa
6,-1.282452,0.44532,-0.715544,Gempa
7,-0.963532,0.237264,-0.950873,Gempa
8,-0.566102,-0.040159,-1.050356,Gempa
9,-0.126893,-0.356837,-0.970332,Gempa
10,0.298031,-0.667479,-0.698743,Gempa
11,0.651013,-0.916371,-0.250182,Gempa
12,0.892224,-1.047905,0.339976,Gempa
13,1.007822,-1.020991,1.014915,Gempa
14,1.00802,-0.822967,1.691842,Gempa
15,0.918746,-0.477901,2.260793,Gempa
16,0.770317,-0.045894,2.594528,Gempa
17,0.585878,0.389942,2.575848,Gempa
18,0.374648,0.744863,2.135025,Gempa
19,0.13507,0.95627,1.284597,Gempa
20,-0.13403,0.999941,0.13429,Gempa
21,-0.419326,0.889669,-1.130179,Gempa
22,-0.686684,0.66399,-2.294962,Gempa
23,-0.890294,0.366865,-3.177343,Gempa
24,-0.986795,0.033846,-3.671699,Gempa
25,-0.943368,-0.307124,-3.76039,Gempa
26,-0.74119,-0.624954,-3.495003,Gempa
27,-0.378746,-0.874445,-2.959209,Gempa
28,0.123499,-0.998556,-2.235598,Gempa
29,0.719388,-0.952383,-1.394748,Gempa
30,1.3405,-0.733023,-0.503438,Gempa
31,1.911384,-0.393664,0.358854,Gempa
32,2.367817,-0.029933,1.095519,Gempa
33,2.667675,0.263668,1.616348,Gempa
34,2.791806,0.436805,1.87684,Gempa
35,2.735634,0.49506,1.910293,Gempa
36,2.499143,0.482014,1.825899,Gempa
37,2.083209,0.444687,1.755753,Gempa
38,1.495197,0.409278,1.785858,Gempa
39,0.762587,0.38584,1.914166,Gempa
40,-0.057089,0.38397,2.054363,Gempa
41,-0.881775,0.417418,2.088041,Gempa
42,-1.623525,0.494979,1.922572,Gempa
43,-2.212322,0.604205,1.515171,Gempa
44,-2.609948,0.702504,0.867797,Gempa
45,-2.803313,0.726903,0.010308,Gempa
46,-2.790647,0.613743,-1.006893,Gempa
47,-2.575926,0.318475,-2.099327,Gempa
48,-2.173151,-0.1656,-3.130614,Gempa
49,-1.615419,-0.791435,-3.914599,Gempa
50,-0.957859,-1.455555,-4.249364,Gempa
51,-0.267343,-2.020526,-3.984564,Gempa
52,0.390456,-2.355146,-3.088428,Gempa
53,0.956054,-2.378042,-1.67566,Gempa
54,1.37768,-2.081698,0.014644,Gempa
55,1.616691,-1.519437,1.690888,Gempa
56,1.656936,-0.774108,3.092099,Gempa
57,1.513494,0.068123,4.044568,Gempa
58,1.232558,0.92666,4.482829,Gempa
59,0.876659,1.716606,4.433277,Gempa
60,0.505313,2.340887,3.976904,Gempa
61,0.16231,2.704655,3.208897,Gempa
62,-0.128949,2.747346,2.217316,Gempa
63,-0.363048,2.476006,1.094131,Gempa
64,-0.546001,1.973145,-0.044973,Gempa
65,-0.686531,1.360096,-1.061104,Gempa
66,-0.788098,0.744043,-1.822195,Gempa
67,-0.845077,0.183183,-2.255852,Gempa
68,-0.845419,-0.316972,-2.385175,Gempa
69,-0.780386,-0.775836,-2.310566,Gempa
70,-0.653861,-1.206637,-2.154902,Gempa
71,-0.484122,-1.605467,-2.002563,Gempa
72,-0.300029,-1.952037,-1.86446,Gempa
73,-0.134679,-2.210689,-1.692143,Gempa
74,-0.017621,-2.336057,-1.423114,Gempa
75,0.034465,-2.290304,-1.03067,Gempa
76,0.027185,-2.062109,-0.548491,Gempa
77,-0.006456,-1.673455,-0.050229,Gempa
78,-0.012674,-1.168975,0.392419,Gempa
79,0.060202,-0.590843,0.743303,Gempa
80,0.237068,0.037181,1.009775,Gempa
81,0.506651,0.697538,1.219087,Gempa
82,0.831018,1.356347,1.387449,Gempa
83,1.170555,1.953925,1.505276,Gempa
84,1.50509,2.413342,1.538284,Gempa
85,1.833847,2.663519,1.438955,Gempa
86,2.159691,2.661031,1.16328,Gempa
87,2.469229,2.398205,0.690339,Gempa
88,2.722297,1.903791,0.040594,Gempa
89,2.860016,1.242504,-0.713928,Gempa
90,2.822816,0.508482,-1.455459,Gempa
91,2.567573,-0.194533,-2.050366,Gempa
92,2.07752,-0.779546,-2.394212,Gempa
93,1.362773,-1.196652,-2.455229,Gempa
94,0.458346,-1.433736,-2.289213,Gempa
95,-0.575159,-1.493358,-2.003911,Gempa
96,-1.651904,-1.376548,-1.697138,Gempa
97,-2.669219,-1.098743,-1.40425,Gempa
98,-3.526043,-0.713254,-1.087628,Gempa
99,-4.148215,-0.308959,-0.6841,Gempa
100,-4.504794,0.021777,-0.162384,Gempa
101,-4.601267,0.23067,0.458664,Gempa
102,-4.459618,0.334866,1.12838,Gempa
103,-4.10009,0.382834,1.798286,Gempa
104,-3.53585,0.407779,2.439125,Gempa
105,-2.784759,0.41512,3.021553,Gempa
106,-1.8829,0.396302,3.489651,Gempa
107,-0.885549,0.346656,3.761297,Gempa
108,0.13939,0.271587,3.755521,Gempa
109,1.117579,0.176723,3.433511,Gempa
110,1.973703,0.059745,2.826995,Gempa
111,2.639118,-0.081869,2.031282,Gempa
112,3.062587,-0.241868,1.171009,Gempa
113,3.222578,-0.410566,0.353909,Gempa
114,3.134683,-0.583532,-0.364932,Gempa
115,2.848301,-0.759459,-0.989097,Gempa
116,2.437094,-0.931382,-1.560389,Gempa
117,1.987029,-1.080922,-2.121474,Gempa
118,1.580475,-1.181778,-2.684521,Gempa
119,1.275729,-1.213276,-3.223866,Gempa
120,1.092001,-1.170907,-3.684335,Gempa
121,1.010666,-1.062914,-3.992281,Gempa
122,0.988774,-0.901943,-4.060567,Gempa
123,0.977333,-0.702631,-3.790493,Gempa
124,0.9344,-0.483716,-3.093185,Gempa
125,0.827209,-0.268024,-1.945138,Gempa
126,0.63151,-0.073655,-0.442062,Gempa
127,0.33562,0.103972,1.19536,Gempa
