X;Y;Z
0,0015;-0,003551;0,002403
0,001011;-0,007368;0,001608
0,000451;-0,012347;-0,0003
-0,000029;-0,016434;-0,003562
-0,000339;-0,017548;-0,006485
-0,000434;-0,015166;-0,006985
-0,000294;-0,010613;-0,004588
-0,000019;-0,006053;-0,001143
0,000147;-0,00284;0,000719
-0,000015;-0,000692;-0,000357
-0,000503;0,001363;-0,003718
-0,001129;0,003767;-0,00716
-0,001666;0,006401;-0,008024
-0,001959;0,009077;-0,004617
-0,001943;0,011571;0,002458
-0,001587;0,013403;0,010156
-0,000898;0,013887;0,014872
-0,000036;0,012578;0,014786
0,000658;0,009826;0,010844
0,000908;0,00668;0,005865
0,000727;0,003795;0,002177
0,000349;0,000801;-0,000021
0,000018;-0,002662;-0,001853
-0,000154;-0,005886;-0,00408
-0,000196;-0,007632;-0,006448
-0,000165;-0,007328;-0,008083
-0,000074;-0,00549;-0,00832
0,000073;-0,003175;-0,007158
0,000232;-0,000972;-0,004966
0,000374;0,001292;-0,002173
0,000515;0,003533;0,000497
0,000623;0,004762;0,002006
0,000553;0,004172;0,001847
0,000158;0,002293;0,000645
-0,000535;0,000447;-0,000567
-0,001269;-0,000513;-0,001372
-0,001669;-0,000628;-0,002045
-0,001482;-0,000397;-0,002836
-0,000751;-0,00001;-0,003207
0,000273;0,000736;-0,002027
0,001299;0,001457;0,000962
0,00208;0,000715;0,004302
0,00244;-0,002619;0,006129
0,002323;-0,007881;0,005884
0,001816;-0,012894;0,004355
0,001101;-0,015421;0,002668
0,000363;-0,014568;0,001399
-0,000276;-0,011199;0,000419
-0,00077;-0,007032;-0,000514
-0,001103;-0,003496;-0,00136
-0,001255;-0,001348;-0,002226
-0,001233;-0,000612;-0,003579
-0,001089;-0,00038;-0,005359
-0,000871;0,000987;-0,00629
-0,000583;0,004709;-0,004725
-0,000227;0,010427;-0,000111
0,000146;0,016158;0,006279
0,000455;0,019363;0,011809
0,000668;0,018596;0,013992
0,000864;0,014464;0,011856
0,001197;0,008946;0,006139
0,001712;0,004044;-0,001196
0,002233;0,000926;-0,007559
0,002486;-0,000285;-0,010643
0,002292;-0,00021;-0,009724
0,001642;0,000237;-0,00622
0,000662;0,000269;-0,002508
-0,000455;-0,000481;-0,000177
-0,001477;-0,001842;0,000771
-0,002133;-0,00331;0,001357
-0,002163;-0,004554;0,002095
-0,00148;-0,005703;0,002244
-0,000292;-0,006972;0,001038
0,000999;-0,00811;-0,001007
0,002008;-0,008293;-0,00262
0,002554;-0,006621;-0,003041
0,0027;-0,002991;-0,002448
0,002614;0,001511;-0,001464
0,002427;0,005302;-0,000324
0,002225;0,007199;0,001271
0,002089;0,006616;0,003203
0,002037;0,00345;0,004386
0,001971;-0,001778;0,003848
0,001729;-0,007684;0,001944
0,001208;-0,012154;0,000018
0,000479;-0,013154;-0,000893
-0,000236;-0,010104;-0,001013
-0,000751;-0,004479;-0,001518
-0,001039;0,001402;-0,002883
-0,001122;0,005907;-0,003966
-0,000956;0,008447;-0,003388
-0,000532;0,009082;-0,001178
-0,000017;0,008222;0,001522
0,000329;0,006468;0,003697
0,000331;0,004389;0,005045
0,000002;0,002224;0,005591
-0,000492;-0,000304;0,00481
-0,000963;-0,003573;0,001658
-0,001303;-0,007032;-0,003826
-0,001447;-0,008886;-0,009558
-0,001333;-0,007545;-0,012946
-0,000953;-0,003217;-0,01279
-0,000379;0,002131;-0,00926
0,000354;0,006092;-0,003091
0,001298;0,007349;0,004431
0,002412;0,006294;0,011141
0,003421;0,004124;0,014388
0,003979;0,001687;0,012435
0,003923;-0,0007;0,006227
0,003319;-0,002775;-0,000614
0,002371;-0,003951;-0,004827
0,001305;-0,003469;-0,006171
0,000299;-0,00113;-0,00646
-0,000542;0,002185;-0,007002
-0,001165;0,004912;-0,007357
-0,00154;0,005714;-0,005994
-0,001627;0,004243;-0,002164
-0,001378;0,001332;0,003036
-0,000784;-0,001565;0,007788
0,000018;-0,003213;0,011038
0,000758;-0,003217;0,012473
0,001238;-0,002259;0,011783
0,001472;-0,001823;0,0085
0,001553;-0,003299;0,002499
0,00149;-0,006651;-0,005315
0,001263;-0,009807;-0,012781
0,000929;-0,009777;-0,01719
0,000558;-0,004679;-0,016413
0,000147;0,004684;-0,009855
-0,000296;0,014782;0,000956
-0,00064;0,021343;0,012414
-0,000658;0,021713;0,019946
-0,000171;0,015913;0,020357
0,000801;0,006426;0,013853
0,002032;-0,002881;0,004035
0,003311;-0,00841;-0,004108
0,004596;-0,008616;-0,007375
0,005873;-0,004855;-0,006363
0,006972;-0,000298;-0,004401
0,007603;0,002209;-0,004792
0,007513;0,001959;-0,008385
0,006596;0,000597;-0,012974
0,004905;0,00017;-0,015151
0,00262;0,001163;-0,012772
-0,000014;0,002502;-0,00614
-0,002744;0,002784;0,002185
-0,005336;0,001406;0,008607
-0,007585;-0,000945;0,010244
-0,009326;-0,002614;0,006645
-0,010475;-0,001906;0,000421
-0,011074;0,001752;-0,004104
-0,01128;0,007171;-0,003484
-0,011294;0,011995;0,002475
-0,01125;0,014104;0,010528
-0,011186;0,013049;0,016948
-0,011152;0,01036;0,020424
-0,011279;0,008117;0,021878
-0,011646;0,007351;0,022722
-0,012127;0,007844;0,023828
-0,012439;0,008843;0,025551
-0,012332;0,009782;0,028289
-0,011768;0,010643;0,032609
-0,010949;0,011844;0,038541
-0,010117;0,013855;0,045339
-0,009359;0,016739;0,052671
-0,008629;0,020004;0,061421
-0,007906;0,022963;0,072501
-0,007333;0,025122;0,08536
-0,007215;0,026173;0,098179
-0,007789;0,025739;0,109034
-0,008933;0,023285;0,116749
-0,009996;0,018408;0,120988
-0,009887;0,011491;0,121687
-0,00747;0,003945;0,118609
-0,002009;-0,002533;0,111625
0,006573;-0,006879;0,101271
0,017628;-0,008917;0,088909
0,029849;-0,009122;0,076327
0,041466;-0,008282;0,06489
0,050596;-0,00714;0,054804
0,055821;-0,006043;0,045099
0,056891;-0,004895;0,034404
0,054984;-0,003549;0,022233
0,05205;-0,002053;0,009633
0,04969;-0,00028;-0,001572
0,048291;0,002388;-0,009741
0,046969;0,006575;-0,013417
0,044505;0,012063;-0,011098
0,040329;0,017272;-0,00179
0,034587;0,019417;0,013692
0,027549;0,015342;0,031398
0,018921;0,002158;0,044131
0,00766;-0,022608;0,043803
-0,007408;-0,059709;0,0258
-0,026819;-0,104682;-0,006199
-0,050198;-0,14496;-0,038334
-0,076378;-0,161236;-0,050923
-0,103634;-0,133322;-0,027507
-0,129881;-0,049255;0,034469
-0,152857;0,087005;0,116536
-0,000261;0,138036;0,000243
-0,000073;0,127254;0,000265
0,000166;0,113987;0,000257
0,000323;0,098309;0,00004
0,000319;0,080479;-0,00047
0,000174;0,061141;-0,001088
-0,000016;0,041174;-0,001402
-0,000166;0,021397;-0,001134
-0,000267;0,002456;-0,000414
-0,000355;-0,015134;0,000385
-0,000455;-0,030906;0,000947
-0,000557;-0,044453;0,001108
-0,000633;-0,055577;0,000817
-0,000659;-0,064336;0,000128
-0,00063;-0,070814;-0,00075
-0,000565;-0,074937;-0,001452
-0,000501;-0,076633;-0,001607
-0,000464;-0,076089;-0,00114
-0,000446;-0,073799;-0,000393
-0,000412;-0,070375;0,000209
-0,000328;-0,066268;0,000503
-0,000196;-0,061622;0,00056
-0,000066;-0,056413;0,000479
0,000002;-0,050648;0,000345
-0,000011;-0,044419;0,000262
-0,000081;-0,037813;0,000325
-0,000157;-0,030811;0,000516
-0,000196;-0,02327;0,000615
-0,000175;-0,015039;0,000283
-0,0001;-0,006151;-0,0006
0,00001;0,003019;-0,001735
0,000135;0,011756;-0,002608
0,000264;0,019238;-0,002829
0,000395;0,024825;-0,002245
0,000522;0,028194;-0,000942
0,000622;0,029344;0,000707
0,00066;0,02853;0,002076
0,00061;0,02624;0,002529
0,000469;0,023235;0,001782
0,00026;0,020461;0,000149
0,000021;0,018704;-0,001545
-0,000199;0,018277;-0,002476
-0,000359;0,019023;-0,002331
-0,000442;0,020513;-0,001386
-0,000468;0,022245;-0,000245
-0,000471;0,023749;0,000529
