X,Y,Z
-1.546147,0.254083,0.18098
-1.655812,0.418088,0.181559
-1.691204,0.542576,0.081704
-1.643463,0.598221,-0.126945
-1.508805,0.567528,-0.41433
-1.282452,0.44532,-0.715544
-0.963532,0.237264,-0.950873
-0.566102,-0.040159,-1.050356
-0.126893,-0.356837,-0.970332
0.298031,-0.667479,-0.698743
0.651013,-0.916371,-0.250182
0.892224,-1.047905,0.339976
1.007822,-1.020991,1.014915
1.00802,-0.822967,1.691842
0.918746,-0.477901,2.260793
0.770317,-0.045894,2.594528
0.585878,0.389942,2.575848
0.374648,0.744863,2.135025
0.13507,0.95627,1.284597
-0.13403,0.999941,0.13429
-0.419326,0.889669,-1.130179
-0.686684,0.66399,-2.294962
-0.890294,0.366865,-3.177343
-0.986795,0.033846,-3.671699
-0.943368,-0.307124,-3.76039
-0.74119,-0.624954,-3.495003
-0.378746,-0.874445,-2.959209
0.123499,-0.998556,-2.235598
0.719388,-0.952383,-1.394748
1.3405,-0.733023,-0.503438
1.911384,-0.393664,0.358854
2.367817,-0.029933,1.095519
2.667675,0.263668,1.616348
2.791806,0.436805,1.87684
2.735634,0.49506,1.910293
2.499143,0.482014,1.825899
2.083209,0.444687,1.755753
1.495197,0.409278,1.785858
0.762587,0.38584,1.914166
-0.057089,0.38397,2.054363
-0.881775,0.417418,2.088041
-1.623525,0.494979,1.922572
-2.212322,0.604205,1.515171
-2.609948,0.702504,0.867797
-2.803313,0.726903,0.010308
-2.790647,0.613743,-1.006893
-2.575926,0.318475,-2.099327
-2.173151,-0.1656,-3.130614
-1.615419,-0.791435,-3.914599
-0.957859,-1.455555,-4.249364
-0.267343,-2.020526,-3.984564
0.390456,-2.355146,-3.088428
0.956054,-2.378042,-1.67566
1.37768,-2.081698,0.014644
1.616691,-1.519437,1.690888
1.656936,-0.774108,3.092099
1.513494,0.068123,4.044568
1.232558,0.92666,4.482829
0.876659,1.716606,4.433277
0.505313,2.340887,3.976904
0.16231,2.704655,3.208897
-0.128949,2.747346,2.217316
-0.363048,2.476006,1.094131
-0.546001,1.973145,-0.044973
-0.686531,1.360096,-1.061104
-0.788098,0.744043,-1.822195
-0.845077,0.183183,-2.255852
-0.845419,-0.316972,-2.385175
-0.780386,-0.775836,-2.310566
-0.653861,-1.206637,-2.154902
-0.484122,-1.605467,-2.002563
-0.300029,-1.952037,-1.86446
-0.134679,-2.210689,-1.692143
-0.017621,-2.336057,-1.423114
0.034465,-2.290304,-1.03067
0.027185,-2.062109,-0.548491
-0.006456,-1.673455,-0.050229
-0.012674,-1.168975,0.392419
0.060202,-0.590843,0.743303
0.237068,0.037181,1.009775
0.506651,0.697538,1.219087
0.831018,1.356347,1.387449
1.170555,1.953925,1.505276
1.50509,2.413342,1.538284
1.833847,2.663519,1.438955
2.159691,2.661031,1.16328
2.469229,2.398205,0.690339
2.722297,1.903791,0.040594
2.860016,1.242504,-0.713928
2.822816,0.508482,-1.455459
2.567573,-0.194533,-2.050366
2.07752,-0.779546,-2.394212
1.362773,-1.196652,-2.455229
